mot,nom,count,occ_mot,occ_nom,p_nom_si_mot,p_mot_si_nom,pmi
prix,Charles,346,56952,86793,0.006075291473521562,0.003986496606869217,-0.5058155099005534
rivière,Roque,345,4363,2289,0.07907403162961266,0.15072083879423329,8.441152265264472
prix,Spuller,345,56952,2207,0.006057732827644332,0.15632079746261893,4.7874289710019395
rivière,Sentenac,344,4363,3500,0.07884483153793262,0.09828571428571428,7.824327009137034
rivière,Paul,343,4363,131300,0.07861563144625258,0.0026123381568926123,2.5907588366598278
rivière,Sarlat,342,4363,1718,0.07838643135457254,0.1990686845168801,8.842539654902062
rivière,Remoiville,340,4363,1656,0.07792803117121247,0.20531400966183574,8.887105439793004
prix,Sentenac,340,56952,3500,0.005969939598258182,0.09714285714285714,4.101099063034033
rivière,Pradon,339,4363,1675,0.07769883107953243,0.20238805970149254,8.866397544058474
eau,Nord,339,14658,62683,0.023127302496930003,0.005408164893192732,1.892260425474983
frais,Paul,338,37259,131300,0.009071633699240453,0.0025742574257425744,-0.524623068490035
rivière,Rey,338,4363,8522,0.0774696309878524,0.03966205116169913,6.515104561258592
rivière,Pochon,337,4363,3988,0.07724043089617236,0.08450351053159479,7.606356547938289
marché,Vendre,337,18427,4915,0.018288381179790526,0.06856561546286877,5.226401707210027
rivière,Frogier,336,4363,2241,0.07701123080449232,0.1499330655957162,8.433591950422993
rivière,Sonnier,335,4363,1905,0.07678203071281228,0.17585301837270342,8.663643464119078
rivière,Tassin,334,4363,2797,0.07655283062113225,0.11941365749016804,8.105241215152487
chenal,Chautemps,332,1782,11628,0.186307519640853,0.028551771585827314,7.332748673219892
rivière,Spuller,332,4363,2207,0.07609443043777217,0.15043044857272314,8.438369978221937
prix,Trouvé,331,56952,13717,0.0058119117853631126,0.02413064081067289,2.091857371956273
prix,Riotteau,331,56952,5950,0.0058119117853631126,0.055630252100840334,3.296860787340572
chenal,Nord,331,1782,62683,0.18574635241301907,0.005280538583028891,4.897925396612347
prix,Versigny,329,56952,1736,0.005776794493608653,0.18951612903225806,5.065239874906784
levée,Jules,329,5853,116598,0.056210490346830684,0.002821660748897923,2.2781059132287873
frais,Louis,328,37259,106741,0.008803242169677126,0.0030728586016619667,-0.26919801627266665
rivière,Pelletan,327,4363,16445,0.074948429979372,0.01988446336272423,5.518986898929945
prix,Rivet,327,56952,6412,0.005741677201854193,0.05099812850904554,3.171435448959557
prix,Maison,324,56952,11521,0.005689001264222503,0.028122558805659233,2.3127190116616374
eau,Paul,322,14658,131300,0.021967526265520534,0.0024523990860624524,0.7513150579897195
prix,Tony,321,56952,3190,0.005636325326590814,0.1006269592476489,4.151936112086094
chenal,François,320,1782,36902,0.17957351290684623,0.008671616714541218,5.613541304327307
rivière,Turigny,319,4363,5483,0.0731148292459317,0.05817982856100675,7.067864316622697
rives,Rives,318,479,479,0.6638830897703549,0.6638830897703549,13.767425483343121
chenal,Henry,318,1782,35408,0.17845117845117844,0.008981021238138273,5.664119817492549
prix,Sourigues,317,56952,1872,0.005566090743081894,0.16933760683760685,4.902821644172025
rivière,Simonnet,317,4363,1474,0.07265642906257162,0.21506105834464043,8.954019682198965
prix,Theulier,317,56952,4569,0.005566090743081894,0.06938060844823812,3.6155236365469814
rivière,Theulier,317,4363,4569,0.07265642906257162,0.06938060844823812,7.321877764085586
exploitation,Nord,315,23160,62683,0.013601036269430052,0.005025285962701211,1.1263799968377315
prix,Frogier,314,56952,2241,0.005513414805450203,0.14011601963409193,4.629541148997256
rivière,Saint-Prix,313,4363,1364,0.07173962869585147,0.22947214076246333,9.047592379063072
chenal,Clément,312,1782,8416,0.1750841750841751,0.0370722433460076,7.70950782757915
prix,Sarlat,312,56952,1718,0.005478297513695744,0.18160651920838183,5.003735231339808
frais,Rendu,312,37259,23037,0.008373815722375801,0.013543430134132048,1.8707418715756874
rivière,Tondu,310,4363,1668,0.07105202842081138,0.18585131894484413,8.743422292984201
prix,Ringuier,309,56952,5751,0.005425621576064054,0.05372978612415232,3.2467132391310902
prix,Sandrique,309,56952,2902,0.005425621576064054,0.10647829083390765,4.233478557453653
chemin de fer,Nord,308,13455,62683,0.022891118543292455,0.004913612941307851,1.8774513814941731
prix,Ribot,306,56952,13762,0.005372945638432364,0.022235140241244004,1.9738326479104897
frais,Sens,305,37259,30617,0.008185941651681473,0.009961785935917953,1.4276250111890254
prix,Viox,305,56952,3725,0.005355386992555134,0.08187919463087248,3.854488055829385
prix,Récipon,305,56952,1794,0.005355386992555134,0.17001114827201783,4.90854859114701
rivière,Vacher,304,4363,4439,0.06967682787073115,0.06848389276864159,7.303109981273119
