mot,nom,nom_trouve_pres_du_mot,mot_trouve_pres_du_nom,total
chenal,Delaroche-Vernet,117,117,234
transport,Rendu,117,117,234
concession,Rendu,117,117,234
travaux publics,Gauthier,118,116,234
maritime,Louis,117,117,234
charge,Terme,117,117,234
rivière,Tarbouriech,117,117,234
rivière,Pierre-Alype,117,117,234
travaux publics,Germain,117,117,234
chemin de fer,Maurice,119,114,233
marchandise,Vendre,116,116,232
onn,Del,116,116,232
rivière,Joachim,116,116,232
prix,Tailliandier,116,116,232
frais,Brousse,116,116,232
rivière,Augustin,116,116,232
rivière,Poincaré,116,116,232
ports,Sens,116,116,232
chenal,Henri,116,116,232
eau,Morel,116,116,232
marchandises,Louis,115,115,230
rivière,Adigard,115,115,230
levée,Jean,115,115,230
ports,Février,115,115,230
marché,Charles,115,115,230
avantage,Faisant,115,115,230
chenal,Jean,115,115,230
eau,Bois,115,115,230
prix,François,115,115,230
tarif,Esprit,115,115,230
avantage,Del,115,115,230
travaux publics,Plichon,115,114,229
frais,Désir,114,114,228
